Country_Code,Country,Reference_Date,NO_CASES,Region,cases_normalized_percentage,flag
ABW,Aruba,1995,20,LATIN AMER. & CARIB,0.027819894006203837,🇦🇼
ABW,Aruba,1996,37,LATIN AMER. & CARIB,0.0514668039114771,🇦🇼
AIA,Anguilla,1989,2,LATIN AMER. & CARIB,0.014840097944646434,🇦🇮
AIA,Anguilla,1995,5,LATIN AMER. & CARIB,0.03710024486161609,🇦🇮
AIA,Anguilla,1995,5,LATIN AMER. & CARIB,0.03710024486161609,🇦🇮
AIA,Anguilla,1987,2,LATIN AMER. & CARIB,0.014840097944646434,🇦🇮
ALB,Albania,2011,199,EASTERN EUROPE,0.005556090689918487,🇦🇱
ARG,Argentina,1987,78,LATIN AMER. & CARIB,0.00019538181024904343,🇦🇷
ARG,Argentina,1999,15673,LATIN AMER. & CARIB,0.03925921938504176,🇦🇷
ARG,Argentina,1987,112,LATIN AMER. & CARIB,0.00028054824035760083,🇦🇷
ARG,Argentina,1995,7417,LATIN AMER. & CARIB,0.018578806238681474,🇦🇷
ARG,Argentina,1988,315,LATIN AMER. & CARIB,0.0007890419260057523,🇦🇷
ARG,Argentina,1989,356,LATIN AMER. & CARIB,0.0008917426211366597,🇦🇷
AUS,Australia,2003,9260,OCEANIA,0.04569661729556759,🇦🇺
AUS,Australia,1995,5883,OCEANIA,0.02903166301833954,🇦🇺
AZE,Azerbaijan,2011,700,C.W. OF IND. STATES,0.008792181590201691,🇦🇿
BDI,Burundi,1993,7131,SUB-SAHARAN AFRICA,0.08814511818689287,🇧🇮
BGD,Bangladesh,2006(?),365,ASIA (EX. NEAR EAST),0.00024768372961915774,🇧🇩
BLR,Belarus,2007,603,C.W. OF IND. STATES,0.005858344074440414,🇧🇾
BLZ,Belize,1989,8,LATIN AMER. & CARIB,0.0027803843881416606,🇧🇿
BLZ,Belize,1988,11,LATIN AMER. & CARIB,0.0038230285336947833,🇧🇿
BLZ,Belize,1995,138,LATIN AMER. & CARIB,0.047961630695443645,🇧🇿
BLZ,Belize,1997,184,LATIN AMER. & CARIB,0.0639488409272582,🇧🇿
BLZ,Belize,1987,2,LATIN AMER. & CARIB,0.0006950960970354152,🇧🇿
BOL,Bolivia,1995,109,LATIN AMER. & CARIB,0.0012125869641784013,🇧🇴
BOL,Bolivia,1998,141,LATIN AMER. & CARIB,0.0015685757976986656,🇧🇴
BOL,Bolivia,1988,16,LATIN AMER. & CARIB,0.00017799441676013227,🇧🇴
BOL,Bolivia,1986,1,LATIN AMER. & CARIB,1.1124651047508267e-05,🇧🇴
BOL,Bolivia,1987,2,LATIN AMER. & CARIB,2.2249302095016533e-05,🇧🇴
BRA,Brazil,1988,4946,LATIN AMER. & CARIB,0.0026297568192196964,🇧🇷
BRA,Brazil,1987,1542,LATIN AMER. & CARIB,0.0008198716165056149,🇧🇷
BRA,Brazil,1987,2013,LATIN AMER. & CARIB,0.0010702993281619993,🇧🇷
BRA,Brazil,1999,170078,LATIN AMER. & CARIB,0.09042939350975486,🇧🇷
BRB,Barbados,1999,1043,LATIN AMER. & CARIB,0.3726171082340164,🇧🇧
BRB,Barbados,1995,632,LATIN AMER. & CARIB,0.22578524679184886,🇧🇧
BRB,Barbados,1988,70,LATIN AMER. & CARIB,0.025007859613021235,🇧🇧
BRB,Barbados,1987,44,LATIN AMER. & CARIB,0.01571922604247049,🇧🇧
BRB,Barbados,1987,39,LATIN AMER. & CARIB,0.013932950355826116,🇧🇧
BRB,Barbados,1989,111,LATIN AMER. & CARIB,0.0396553202435051,🇧🇧
BRN,Brunei,1995,6,ASIA (EX. NEAR EAST),0.0015812610029411456,🇧🇳
BWA,Botswana,1987,13,SUB-SAHARAN AFRICA,0.0007927636533720202,🇧🇼
CHL,Chile,1995,1363,LATIN AMER. & CARIB,0.008447883346569176,🇨🇱
CHL,Chile,1987,28,LATIN AMER. & CARIB,0.00017354419200582316,🇨🇱
CHL,Chile,1988,123,LATIN AMER. & CARIB,0.0007623548434541517,🇨🇱
CHL,Chile,1999,3127,LATIN AMER. & CARIB,0.019381167442936033,🇨🇱
CHL,Chile,1987,57,LATIN AMER. & CARIB,0.0003532863908689971,🇨🇱
CHL,Chile,1987,42,LATIN AMER. & CARIB,0.0002603162880087347,🇨🇱
CHN,China,2012,184276,ASIA (EX. NEAR EAST),0.014024329267536877,🇨🇳
CHN,China,2016,54360,ASIA (EX. NEAR EAST),0.00413706906479034,🇨🇳
CHN,China,2015,50330,ASIA (EX. NEAR EAST),0.0038303658210246095,🇨🇳
CHN,China,2014,45145,ASIA (EX. NEAR EAST),0.0034357612753855757,🇨🇳
CHN,China,2012,202163,ASIA (EX. NEAR EAST),0.015385619818712462,🇨🇳
CHN,China,2012,41604,ASIA (EX. NEAR EAST),0.003166273387997375,🇨🇳
CHN,China,2013,63498,ASIA (EX. NEAR EAST),0.00483251676740355,🇨🇳
CHN,China,2012,187079,ASIA (EX. NEAR EAST),0.014237651647754082,🇨🇳
CHN,China,2012,200161,ASIA (EX. NEAR EAST),0.015233257562132067,🇨🇳
CHN,China,2012,190712,ASIA (EX. NEAR EAST),0.01451414119728284,🇨🇳
CHN,China,2010,138288,ASIA (EX. NEAR EAST),0.010524411457537278,🇨🇳
CHN,China,2010,5661,ASIA (EX. NEAR EAST),0.0004308305367140933,🇨🇳
CHN,China,2010,7147,ASIA (EX. NEAR EAST),0.0005439226012887519,🇨🇳
CHN,China,2010,4023,ASIA (EX. NEAR EAST),0.00030617050860286125,🇨🇳
